學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
1005,淡江大學,日,學士,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,01 新北市,1 一般
1005,淡江大學,日,專科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
1006,中國文化大學,日,博士,119,36,157,109,75,54,0,0,1,0,1,1,0,0,0,0,0,0,4,0,13,14,0,0,0,0,0,1,0,0,0,0,0,0,30 臺北市,1 一般
1006,中國文化大學,日,碩士,8,6,17,12,11,3,19,9,1,1,5,2,6,8,0,0,0,0,0,0,0,0,2,4,2,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1006,中國文化大學,日,學士,2,2,1,2,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1006,中國文化大學,日,專科,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1006,中國文化大學,日,其他,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
1007,逢甲大學,日,博士,162,31,188,52,94,46,2,0,0,0,2,0,1,0,0,0,5,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
1007,逢甲大學,日,碩士,1,1,5,0,5,2,15,8,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,1,19 臺中市,1 一般
1007,逢甲大學,日,學士,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19 臺中市,1 一般
