學年度,學期（上學期為1；下學期為2）,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次男,修讀雙主修人次女
106,1,公立,一般大學,6,國立中興大學,4131016,企業管理學系,學士班(日間),1,3
106,1,公立,一般大學,6,國立中興大學,4131016,企業管理學系,學士班(進修),1,0
106,1,公立,一般大學,6,國立中興大學,4143020,行銷學系,學士班(日間),0,1
106,1,公立,一般大學,6,國立中興大學,4211023,法律學系,學士班(日間),2,0
106,1,公立,一般大學,6,國立中興大學,5111026,生命科學系,學士班(日間),3,1
106,1,公立,一般大學,6,國立中興大學,5111029,昆蟲學系,學士班(日間),3,3
106,1,公立,一般大學,6,國立中興大學,5121031,生物科技學士學位學程,學士班(日間),3,2
106,1,公立,一般大學,6,國立中興大學,5292082,水土保持學系,學士班(日間),0,1
106,1,公立,一般大學,6,國立中興大學,5311039,化學系,學士班(日間),0,1
106,1,公立,一般大學,6,國立中興大學,5411041,應用數學系,學士班(日間),2,1
106,1,公立,一般大學,6,國立中興大學,6131043,資訊管理學系,學士班(日間),1,1
106,1,公立,一般大學,6,國立中興大學,6131048,資訊科學與工程學系,學士班(日間),1,0
106,1,公立,一般大學,6,國立中興大學,7151050,機械工程學系,學士班(日間),1,0
106,1,公立,一般大學,6,國立中興大學,7211081,食品暨應用生物科技學系,學士班(日間),0,2
106,1,公立,一般大學,6,國立中興大學,7312061,景觀與遊憩學士學位學程,學士班(日間),1,1
106,1,公立,一般大學,6,國立中興大學,7321054,土木工程學系,學士班(日間),2,2
106,1,公立,一般大學,6,國立中興大學,8111063,農藝學系,學士班(日間),4,3
106,1,公立,一般大學,6,國立中興大學,8121067,園藝學系,學士班(日間),1,0
106,1,公立,一般大學,6,國立中興大學,8191083,土壤環境科學系,學士班(日間),4,2
106,1,公立,一般大學,6,國立中興大學,8193078,國際農企業學士學位學程,學士班(日間),0,4
106,1,公立,一般大學,6,國立中興大學,8194068,植物病理學系,學士班(日間),3,2
106,1,公立,一般大學,6,國立中興大學,8211086,森林學系,學士班(日間),2,3
106,1,公立,一般大學,7,國立交通大學,2299008,人文社會學系,學士班(日間),5,7
106,1,公立,一般大學,7,國立交通大學,2311005,外國語文學系,學士班(日間),1,7
